,Organisation,id
0,A Little Gesture A Great Help, 1141990-0
1,A Smile For A Child, 1112963-0
2,ABF The Soldiers' Charity, 1146420-0
3,Abigail's Footsteps, 1149005-0
4,Abortion Support Network, 1142120-0
5,Ace Africa, 1111283-0
6,Aching Arms, 1153296-0
7,Action for A-T, 1145303-0
8,Action for Children, 1077594-0
9,Action For Kids, 1053470-0
10,Action on Addiction, 1117988-0
11,Action on Elder Abuse, 1140543-0
12,Action on Hearing Loss, 207720-0
13,Action Village India, 1118845-0
14,ActionAid, 274467-0
15,Acts of Hope, 1080001-0
16,African Promise, 1122285-0
17,Aga Khan Foundation (United Kingdom) - AKF (UK), 266518-0
18,Age UK Camden, 293446-0
19,Age UK London, 1092198-0
20,Age UK Wandsworth, 1069406-0
21,AGSD-UK, 1132271-0
22,Ali's Gift, 1162396-0
23,Alzheimer's Research UK, 1077089-0
24,Alzheimer's Society, 296645-0
25,Ambitious about Autism, 1063184-0
26,AMEND, 1153890-0
27,Amnesty International UK, 1051681-0
28,Amos Trust, 292592-0
29,Animal Free Research UK, 1146896-0
30,Anonymous Child, 1166698-0
31,Anthony Nolan, 803716-0
32,APP, 1163957-0
33,Architecture for Humanity UK, 1115668-0
34,Artbox London, 1148174-0
35,Arthritis Research UK, 207711-0
36,Arthur Rank Hospice Charity, 283353-0
37,Arts 4 Dementia, 1140842-0
38,ASOS Foundation, 1153946-0
39,Asthma UK, 802364-0
40,Auditory Verbal UK, 1095133-0
41,Autism Anglia, 1063717-0
42,Autistica, 1107350-0
43,Azalea, 1126716-0
44,Back Up, 1070437-0
45,Barnardo's, 216250-0
46,Battersea Dogs & Cats Home, 206394-0
47,Beating Bowel Cancer, 1063614-0
48,Become, 1010518-0
49,Berkshire County Blind Society, 1146413-0
50,BeyondAutism, 1082599-0
51,Birth Companions, 1120934-0
52,Birthrights, 1151152-0
53,BJ Trust, 1146464-0
54,Blind Veterans UK, 216227-0
55,Bliss, 229189-0
56,Bloodwise, 216032-0
57,Bobath Centre for Adults with Neurological Disability, 1039162-0
58,Bobath Centre for Children with Cerebral Palsy, 229663-0
59,Bone Cancer Research Trust, 1159590-0
60,Bounce Back Project, 1132997-0
61,Bowel Cancer UK, 1071038-0
62,Brain & Spine Foundation, 1140361-0
63,Brain Tumour Research, 295895-0
64,brainstrust, 1114634-0
65,Brake, 1023244-0
66,Breast Cancer Care, 1017658-0
67,Breast Cancer Haven, 1061726-0
68,Breast Cancer Now, 1160558-0
69,Brentford FC Community Sports Trust, 1112784-0
70,British Heart Foundation, 225971-0
71,British Lung Foundation, 326730-0
72,British Paralympic Association, 802385-0
73,British Red Cross, 220949-0
74,Brooke, 1085760-0
75,Build Africa, 1127661-0
76,Buttle UK, 313007-0
77,CALM, 1161807-0
78,Camfed International, 1029161-0
79,Camp Simcha, 1044685-0
80,Cancer Research UK, 1144860-0
81,Cardiac Risk in the Young, 1050845-0
82,Carers Network, 1001288-0
83,Carers Worldwide, 1150214-0
84,Catholic Children's Society (Plymouth), 282803-0
85,Cats Protection, 1062472-0
86,Centrepoint, 292411-0
87,Chabad Lubavitch of Islington, 1164760-0
88,Chain of Hope, 1081384-0
89,ChallengeAid, 1109055-0
90,Chamos Charity, 1123410-0
91,Charlotte No 2 Trust, 802107-0
92,Chelsea Children's Hospital Charity, 283091-0
93,Chickenshed, 1102471-0
94,Child Bereavement UK, 1040419-0
95,Children & the Arts, 1146935-0
96,Children in Crisis, 1020488-0
97,CHildren Promotion Society Orphanage Nepal, 1137324-0
98,Children's Cancer and Leukaemia Group, 286669-0
99,"Children's Hospital Trust, South Africa", 1121573-0
100,Chilterns MS Centre, 800853-0
101,Chordoma UK, 1173201-0
102,City of London School, 1097123-0
103,CLEFT, 1119630-0
104,CLIC Sargent, 1107328-0
105,Clowns Without Borders UK, 1156987-0
106,Coeliac UK, 1048167-0
107,Combat Stress, 206002-0
108,Community Links, 1075926-0
109,CoppaFeel!, 1132366-0
110,Coram's Fields, 302963-0
111,CRiBs Charitable Trust, 1122295-0
112,CRIS CANCER Foundation, 1140193-0
113,Crisis UK, 1166440-0
114,Crohns and Colitis UK, 1117148-0
115,cure cancer at ucl, 1141310-0
116,Cynthia Spencer Hospice, 1110967-0
117,Cystic Fibrosis Holiday Fund, 1088630-0
118,Cystic Fibrosis Trust, 1079049-0
119,Daughter's of the Cross (St Raphael's Hospice), 1068661-0
120,Dementia UK, 1039404-0
121,Diabetes UK, 215199-0
122,Disability and Development Partners (DDP), 1046001-0
123,Diversity Role Models, 1142548-0
124,Dogs Trust, 801583-0
125,Down's South London, 1123045-0
126,Dravet Syndrome UK, 1128289-0
127,Duchenne UK, 1147094-0
128,East Anglian Air Ambulance, 1083876-0
129,Eating Disorders Association, 1003974-0
130,Elimination of Leukaemia Fund, 1150414-0
131,Ella Roberta Family Foundation, 1158212-0
132,Ellen MacArthur Cancer Trust, 1096491-0
133,Embrace Child Victims of Crime, 1166103-0
134,EMERGENCY UK, 1148818-0
135,Emmaus UK, 267322-0
136,EMpower, 1058285-0
137,Environmental Investigation Agency, 1145359-0
138,Epilepsy Action, 234343-0
139,Epilepsy Research UK, 1100394-0
140,Epilepsy Society, 206186-0
141,Evelina London Children's Hospital, 1165881-0
142,Evolve Housing + Support, 1099051-0
143,EY Foundation, 1157154-0
144,Family Action, 1154286-0
145,Family Fund, 1053866-0
146,Family Holiday Association, 800262-0
147,Family Rights Group, 1015665-0
148,FANY(PRVC), 249360-0
149,FareShare, 1075477-0
150,Feed the Minds, 291333-0
151,Fight for Sight, 1111438-0
152,Find Your Feet, 250456-0
153,Findacure, 1149646-0
154,First Touch - supporting sick & premature babies at St George's, 1072500-0
155,ForCrohns, 1072500-0
156,Foundation for Angelman Syndrome Therapeutics UK (FAST UK), 1167984-0
157,Freewheelers Theatre and Media, 1142638-0
158,Friends of Colombia for Social Aid, 274778-0
159,Friends of Home from Home (UK), 1117433-0
160,Friends of PICU, 1116880-0
161,Fulham Good Neighbou Service, 1113752-0
162,Future Dreams, 1123526-0
163,Genesis Research Trust, 292518-0
164,GET KIDS GOING, 1063471-0
165,Glad's House, 1115744-0
166,Glass Door, 1083203-0
167,Global H2O UK, 1149984-0
168,Globalâs Make Some Noise, 1127578-0
169,GOSH, 1160024-0
170,GRACE, 1062248-0
171,Grandparents Plus, 1093975-0
172,Greenwich & Bexley Community Hospice, 802103-0
173,Grief Encounter, 1101277-0
174,Guide Dogs, 209617-0
175,Gynaecology Cancer Research Fund, 1091708-0
176,HAMPDEN GURNEY PTA, 1101423-0
177,Hampers of Hope, 1152338-0
178,Happy Africa Foundation, 1123529-0
179,Happy Days Children's Charity, 1010943-0
180,HAVENS HOSPICES, 1022119-0
181,Heads On, 1089450-0
182,Headway - the brain injury association, 1025852-0
183,HeadWrappers, 1025852-0
184,Help Musicians UK, 228089-0
185,Helping Rhinos, 1155309-0
186,HemiChat, 1155309-0
187,Herts MS Therapy Centre, 800849-0
